dataset,task,split,seed,coverage,coverage_weighted,ess_frac,ess_fallback,conf_width,full_risk,eaurc_ens,eaurc_ad,sel_risk80_ad,sel_risk80_ens,test_pos_or_ymean,n_test
ames,classification,random,0,0.900137741046832,0.8980716253443526,0.9957836378019371,False,1.2052341597796143,0.17768595041322313,0.062456841864113946,0.10842449874410674,0.14629948364888123,0.13080895008605853,0.5558,1452
ames,classification,random,1,0.90633608815427,0.90633608815427,0.9670155197972792,False,1.2224517906336088,0.1921487603305785,0.07622309676461193,0.11114460663636648,0.1703958691910499,0.14802065404475043,0.5503,1452
ames,classification,random,2,0.8925619834710744,0.8911845730027548,0.9837891744396656,False,1.21900826446281,0.18457300275482094,0.07531716565672375,0.10704256294222947,0.1686746987951807,0.14888123924268504,0.5296,1452
ames,classification,random,3,0.9159779614325069,0.9159779614325069,0.9826678644358334,False,1.241046831955923,0.17768595041322313,0.07754677142956848,0.10822380435129912,0.16609294320137694,0.14629948364888123,0.5517,1452
ames,classification,random,4,0.8801652892561983,0.8801652892561983,0.9845809198229829,False,1.1783746556473829,0.19834710743801653,0.08340945032149572,0.11402352846475944,0.1729776247848537,0.16437177280550774,0.5351,1452
ames,classification,scaffold,0,0.9008264462809917,0.9008264462809917,0.9936943962404708,False,1.4662534435261707,0.2988980716253444,0.1617862457260993,0.20725225934335167,0.2693631669535284,0.270223752151463,0.4539,1452
ames,classification,scaffold,1,0.9008264462809917,0.9008264462809917,0.9755504952008036,False,1.475206611570248,0.3071625344352617,0.16015699011677964,0.1809263717902887,0.28141135972461273,0.27710843373493976,0.4532,1452
ames,classification,scaffold,2,0.9090909090909091,0.9090909090909091,0.9908906123232104,False,1.4979338842975207,0.2878787878787879,0.16585031633459862,0.2022705895374523,0.26506024096385544,0.26161790017211706,0.4401,1452
ames,classification,scaffold,3,0.8925619834710744,0.8925619834710744,0.9864080608865863,False,1.4490358126721763,0.2940771349862259,0.1575014091710611,0.1937177685815646,0.2676419965576592,0.27452667814113596,0.4449,1452
ames,classification,scaffold,4,0.8987603305785123,0.8987603305785123,0.9723080515772434,False,1.4786501377410468,0.29132231404958675,0.1521617244660537,0.189710728142309,0.2685025817555938,0.2633390705679862,0.4477,1452
ames,classification,cluster,0,0.9022038567493113,0.9022038567493113,0.8862240836335836,False,1.5213498622589532,0.29958677685950413,0.18413136822102552,0.2117690673460849,0.2822719449225473,0.27538726333907054,0.3912,1452
ames,classification,cluster,1,0.9022038567493113,0.8918732782369146,0.905978385061006,False,1.5296143250688705,0.30303030303030304,0.16910906071905954,0.21348358741727355,0.2874354561101549,0.27796901893287435,0.3884,1452
ames,classification,cluster,2,0.8946280991735537,0.8842975206611571,0.8753003970992066,False,1.5172176308539944,0.31955922865013775,0.17786544633403983,0.21979847907093525,0.3029259896729776,0.2908777969018933,0.3919,1452
ames,classification,cluster,3,0.9366391184573003,0.9352617079889807,0.9189055195389102,False,1.628787878787879,0.29820936639118456,0.15926688932698005,0.21015579683034208,0.2848537005163511,0.27796901893287435,0.3843,1452
ames,classification,cluster,4,0.9090909090909091,0.9090909090909091,0.933336786350315,False,1.5792011019283747,0.3174931129476584,0.16641320556132136,0.23270648509756012,0.3046471600688468,0.29001721170395867,0.3829,1452
