dataset,task,metric,fm,split,split_seed,model_seed,score
bbb_martins,classification,auroc,chemberta,random,4,2,0.9192803724053724
bbb_martins,classification,auroc,chemberta,scaffold,4,0,0.8776195395513579
bbb_martins,classification,auroc,chemberta,scaffold,4,1,0.8747048406139315
bbb_martins,classification,auroc,chemberta,scaffold,4,2,0.8831906729634004
bbb_martins,classification,auroc,chemberta,cluster,4,0,0.7759889240506328
bbb_martins,classification,auroc,chemberta,cluster,4,1,0.7675632911392405
bbb_martins,classification,auroc,chemberta,cluster,4,2,0.7612737341772152
bioavailability_ma,classification,auroc,chemberta,random,0,0,0.7422500870776733
bioavailability_ma,classification,auroc,chemberta,random,0,1,0.7112504353883665
bioavailability_ma,classification,auroc,chemberta,random,0,2,0.7387669801462905
bioavailability_ma,classification,auroc,chemberta,scaffold,0,0,0.73046875
bioavailability_ma,classification,auroc,chemberta,scaffold,0,1,0.7845052083333333
bioavailability_ma,classification,auroc,chemberta,scaffold,0,2,0.7154947916666666
bioavailability_ma,classification,auroc,chemberta,cluster,0,0,0.7314524555903866
bioavailability_ma,classification,auroc,chemberta,cluster,0,1,0.7429467084639498
bioavailability_ma,classification,auroc,chemberta,cluster,0,2,0.7248345524207593
bioavailability_ma,classification,auroc,chemberta,random,1,0,0.7721428571428571
bioavailability_ma,classification,auroc,chemberta,random,1,1,0.7657142857142857
bioavailability_ma,classification,auroc,chemberta,random,1,2,0.7660714285714286
bioavailability_ma,classification,auroc,chemberta,scaffold,1,0,0.734795321637427
bioavailability_ma,classification,auroc,chemberta,scaffold,1,1,0.7543859649122807
bioavailability_ma,classification,auroc,chemberta,scaffold,1,2,0.7374269005847954
bioavailability_ma,classification,auroc,chemberta,cluster,1,0,0.7389285714285714
bioavailability_ma,classification,auroc,chemberta,cluster,1,1,0.7303571428571428
bioavailability_ma,classification,auroc,chemberta,cluster,1,2,0.7489285714285715
bioavailability_ma,classification,auroc,chemberta,random,2,0,0.8057823129251701
bioavailability_ma,classification,auroc,chemberta,random,2,1,0.8326530612244899
bioavailability_ma,classification,auroc,chemberta,random,2,2,0.8166666666666665
bioavailability_ma,classification,auroc,chemberta,scaffold,2,0,0.7253571428571428
bioavailability_ma,classification,auroc,chemberta,scaffold,2,1,0.7682142857142857
bioavailability_ma,classification,auroc,chemberta,scaffold,2,2,0.7335714285714285
bioavailability_ma,classification,auroc,chemberta,cluster,2,0,0.7251700680272108
bioavailability_ma,classification,auroc,chemberta,cluster,2,1,0.6952380952380952
bioavailability_ma,classification,auroc,chemberta,cluster,2,2,0.7448979591836735
bioavailability_ma,classification,auroc,chemberta,random,3,0,0.8268518518518518
bioavailability_ma,classification,auroc,chemberta,random,3,1,0.7916666666666666
bioavailability_ma,classification,auroc,chemberta,random,3,2,0.7986111111111112
bioavailability_ma,classification,auroc,chemberta,scaffold,3,0,0.7735980494601185
bioavailability_ma,classification,auroc,chemberta,scaffold,3,1,0.7540926506443748
bioavailability_ma,classification,auroc,chemberta,scaffold,3,2,0.7533960292580982
bioavailability_ma,classification,auroc,chemberta,cluster,3,0,0.7262369791666666
bioavailability_ma,classification,auroc,chemberta,cluster,3,1,0.6936848958333334
bioavailability_ma,classification,auroc,chemberta,cluster,3,2,0.7353515625
bioavailability_ma,classification,auroc,chemberta,random,4,0,0.7148325358851674
bioavailability_ma,classification,auroc,chemberta,random,4,1,0.6883572567783095
bioavailability_ma,classification,auroc,chemberta,random,4,2,0.7014354066985646
bioavailability_ma,classification,auroc,chemberta,scaffold,4,0,0.7033370003667034
bioavailability_ma,classification,auroc,chemberta,scaffold,4,1,0.7293729372937294
bioavailability_ma,classification,auroc,chemberta,scaffold,4,2,0.7414741474147416
bioavailability_ma,classification,auroc,chemberta,cluster,4,0,0.7591706539074959
bioavailability_ma,classification,auroc,chemberta,cluster,4,1,0.7716108452950559
bioavailability_ma,classification,auroc,chemberta,cluster,4,2,0.7690590111642742
caco2_wang,regression,mae,chemberta,random,0,0,0.3683350775753146
caco2_wang,regression,mae,chemberta,random,0,1,0.3420065386206993
caco2_wang,regression,mae,chemberta,random,0,2,0.3592297707410204
caco2_wang,regression,mae,chemberta,scaffold,0,0,0.4088033817330832
caco2_wang,regression,mae,chemberta,scaffold,0,1,0.4319986916686174
caco2_wang,regression,mae,chemberta,scaffold,0,2,0.4169789266195947
caco2_wang,regression,mae,chemberta,cluster,0,0,0.47178414828471077
caco2_wang,regression,mae,chemberta,cluster,0,1,0.4785174404224773
caco2_wang,regression,mae,chemberta,cluster,0,2,0.4694212134537917
caco2_wang,regression,mae,chemberta,random,1,0,0.3621136993147965
caco2_wang,regression,mae,chemberta,random,1,1,0.3574232953820868
caco2_wang,regression,mae,chemberta,random,1,2,0.37007496068262785
caco2_wang,regression,mae,chemberta,scaffold,1,0,0.4058595204107599
caco2_wang,regression,mae,chemberta,scaffold,1,1,0.4290800701138004
caco2_wang,regression,mae,chemberta,scaffold,1,2,0.43376495344159477
caco2_wang,regression,mae,chemberta,cluster,1,0,0.4807820588987916
caco2_wang,regression,mae,chemberta,cluster,1,1,0.48291637833211704
caco2_wang,regression,mae,chemberta,cluster,1,2,0.5073942490346719
caco2_wang,regression,mae,chemberta,random,2,0,0.39740413510151956
caco2_wang,regression,mae,chemberta,random,2,1,0.39504730029323704
caco2_wang,regression,mae,chemberta,random,2,2,0.39982154714945706
caco2_wang,regression,mae,chemberta,scaffold,2,0,0.4283358764008071
caco2_wang,regression,mae,chemberta,scaffold,2,1,0.4232503512517909
caco2_wang,regression,mae,chemberta,scaffold,2,2,0.4419718948969579
caco2_wang,regression,mae,chemberta,cluster,2,0,0.4731722030649037
caco2_wang,regression,mae,chemberta,cluster,2,1,0.4942621966264997
caco2_wang,regression,mae,chemberta,cluster,2,2,0.509726256545182
caco2_wang,regression,mae,chemberta,random,3,0,0.3526268232004354
caco2_wang,regression,mae,chemberta,random,3,1,0.35821691685687057
caco2_wang,regression,mae,chemberta,random,3,2,0.34397656425613565
caco2_wang,regression,mae,chemberta,scaffold,3,0,0.4429790111085996
caco2_wang,regression,mae,chemberta,scaffold,3,1,0.44983517818730945
caco2_wang,regression,mae,chemberta,scaffold,3,2,0.4642083484131194
caco2_wang,regression,mae,chemberta,cluster,3,0,0.4939274728506905
caco2_wang,regression,mae,chemberta,cluster,3,1,0.5141066926472087
caco2_wang,regression,mae,chemberta,cluster,3,2,0.5204915828407706
caco2_wang,regression,mae,chemberta,random,4,0,0.39001321131782957
caco2_wang,regression,mae,chemberta,random,4,1,0.3901901713243254
caco2_wang,regression,mae,chemberta,random,4,2,0.38402339256727624
caco2_wang,regression,mae,chemberta,scaffold,4,0,0.42004697161952426
caco2_wang,regression,mae,chemberta,scaffold,4,1,0.4484976548131251
caco2_wang,regression,mae,chemberta,scaffold,4,2,0.42612936749613006
caco2_wang,regression,mae,chemberta,cluster,4,0,0.48672246506200106
caco2_wang,regression,mae,chemberta,cluster,4,1,0.48670176359591644
caco2_wang,regression,mae,chemberta,cluster,4,2,0.4833775504259718
clearance_hepatocyte_az,regression,spearman,chemberta,random,0,0,0.4479453126096247
clearance_hepatocyte_az,regression,spearman,chemberta,random,0,1,0.5262199978297672
clearance_hepatocyte_az,regression,spearman,chemberta,random,0,2,0.49194448964216225
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,0,0,0.34308987409260505
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,0,1,0.3789390449573365
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,0,2,0.36012118425276746
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,0,0,0.23199771368995684
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,0,1,0.2542606960162507
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,0,2,0.3263177986451077
clearance_hepatocyte_az,regression,spearman,chemberta,random,1,0,0.49613246750813383
clearance_hepatocyte_az,regression,spearman,chemberta,random,1,1,0.4950133903674261
clearance_hepatocyte_az,regression,spearman,chemberta,random,1,2,0.5122290349683962
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,1,0,0.42106731838788813
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,1,1,0.39397640014320273
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,1,2,0.3460456059252994
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,1,0,0.24081472590703648
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,1,1,0.2444953900088024
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,1,2,0.19533865843763218
