dataset,task,split,seed,coverage,coverage_weighted,ess_frac,ess_fallback,conf_width,full_risk,eaurc_ens,eaurc_ad,test_pos_or_ymean,n_test
bbb_martins,classification,random,0,0.9393939393939394,0.9368686868686869,0.9313998578397906,False,1.121212121212121,0.1111111111111111,0.05010952669222026,0.07948854803390823,0.7727,396
bbb_martins,classification,random,1,0.8838383838383839,0.8636363636363636,0.9763062987797955,False,1.053030303030303,0.13636363636363635,0.062492050390579874,0.09929665042614487,0.75,396
bbb_martins,classification,random,2,0.9393939393939394,0.9343434343434344,0.9682267769359636,False,1.1186868686868687,0.10858585858585859,0.05528139124848444,0.09115700808451115,0.7778,396
bbb_martins,classification,random,3,0.9444444444444444,0.9444444444444444,0.9384141246355856,False,1.1035353535353536,0.1111111111111111,0.03317607139058152,0.06398262985604916,0.7753,396
bbb_martins,classification,random,4,0.9242424242424242,0.9242424242424242,0.9354822463980248,False,1.053030303030303,0.10353535353535354,0.04183197170932247,0.0619950364337445,0.7879,396
bbb_martins,classification,random,5,0.9040404040404041,0.9040404040404041,0.9951308012139863,False,1.1085858585858586,0.14646464646464646,0.07116024622559233,0.1219077128714654,0.7298,396
bbb_martins,classification,random,6,0.8863636363636364,0.8863636363636364,0.9823547875489577,False,1.0328282828282829,0.13131313131313133,0.05919289804425606,0.11629141265329207,0.7323,396
bbb_martins,classification,random,7,0.9267676767676768,0.9191919191919192,0.820257425766046,False,1.0808080808080809,0.10101010101010101,0.05526338365962094,0.07617877881771394,0.7879,396
bbb_martins,classification,scaffold,0,0.9343434343434344,0.9343434343434344,0.988044875361868,False,1.154040404040404,0.13383838383838384,0.0735160603004295,0.09972886476572797,0.7576,396
bbb_martins,classification,scaffold,1,0.9015151515151515,0.9015151515151515,0.9741071611732439,False,1.0883838383838385,0.12121212121212122,0.06238519025059452,0.05848772123938036,0.7803,396
bbb_martins,classification,scaffold,2,0.9292929292929293,0.9217171717171717,0.9777357525933837,False,1.1237373737373737,0.1111111111111111,0.05882059091514935,0.07737121865015828,0.7854,396
bbb_martins,classification,scaffold,3,0.9343434343434344,0.9419191919191919,0.9276862950671286,False,1.1388888888888888,0.11868686868686869,0.059776183183144795,0.08326085756069943,0.8005,396
bbb_martins,classification,scaffold,4,0.8762626262626263,0.8762626262626263,0.9489565626472861,False,1.0126262626262625,0.12878787878787878,0.051735789048680335,0.09930164078319173,0.7778,396
bbb_martins,classification,scaffold,5,0.9217171717171717,0.9217171717171717,0.9981453186739702,False,1.0858585858585859,0.11616161616161616,0.07551494493427738,0.09008161948025938,0.7879,396
bbb_martins,classification,scaffold,6,0.8888888888888888,0.8888888888888888,0.9970865109399176,False,1.0454545454545454,0.13383838383838384,0.06886152809410273,0.09638309525611584,0.7652,396
bbb_martins,classification,scaffold,7,0.9141414141414141,0.9116161616161617,0.9631969184639317,False,1.0732323232323233,0.11363636363636363,0.054210293189554844,0.07173985987884841,0.7778,396
bbb_martins,classification,cluster,0,0.8358585858585859,0.8282828282828283,0.8999054698556876,False,1.0227272727272727,0.17424242424242425,0.14141020900624388,0.11051453199860624,0.8005,396
bbb_martins,classification,cluster,1,0.8257575757575758,0.8358585858585859,0.8915381604493495,False,0.9974747474747475,0.1717171717171717,0.12953214173079158,0.10697784675398864,0.8056,396
bbb_martins,classification,cluster,2,0.8181818181818182,0.8055555555555556,0.9409540390380754,False,0.9848484848484849,0.1691919191919192,0.11540070725668874,0.10562115521681673,0.798,396
bbb_martins,classification,cluster,3,0.8459595959595959,0.8459595959595959,0.9820708381881978,False,1.0580808080808082,0.17676767676767677,0.11034167991557843,0.09869755254145847,0.798,396
bbb_martins,classification,cluster,4,0.8459595959595959,0.8459595959595959,0.8399276115312652,False,1.0580808080808082,0.17424242424242425,0.11404671859221822,0.09993026235056914,0.798,396
bbb_martins,classification,cluster,5,0.8409090909090909,0.8409090909090909,0.9195454208430829,False,1.0303030303030303,0.17424242424242425,0.10698258653715635,0.10621155849447288,0.8056,396
bbb_martins,classification,cluster,6,0.8484848484848485,0.8484848484848485,0.8415760511078767,False,1.047979797979798,0.17424242424242425,0.11454923239165672,0.11422373101877419,0.8081,396
bbb_martins,classification,cluster,7,0.8585858585858586,0.851010101010101,0.8593493143377414,False,1.0681818181818181,0.16666666666666666,0.10834011793150757,0.09989973637568902,0.8081,396
herg,classification,random,0,0.9312977099236641,0.9847328244274809,0.8952745284419078,False,1.3740458015267176,0.22137404580152673,0.0969829062858422,0.12208952450820741,0.6947,131
herg,classification,random,1,0.9541984732824428,0.9541984732824428,0.9813233209947144,False,1.4885496183206106,0.22900763358778625,0.09777057178400406,0.11981508668345253,0.6412,131
herg,classification,random,2,0.8854961832061069,0.8854961832061069,0.902453517116449,False,1.4198473282442747,0.2595419847328244,0.16068489822193022,0.14230530300549538,0.6031,131
herg,classification,random,3,0.9465648854961832,0.9618320610687023,0.8881104257419384,False,1.3969465648854962,0.1984732824427481,0.07378493456956833,0.07950163864450827,0.7023,131
herg,classification,random,4,0.9694656488549618,0.9694656488549618,0.9149206549701269,False,1.465648854961832,0.16793893129770993,0.06498002742566439,0.0918741629780986,0.6947,131
herg,classification,random,5,0.8854961832061069,0.8778625954198473,0.8829526172486597,False,1.1908396946564885,0.16793893129770993,0.07152508832863597,0.10477623947505202,0.7481,131
herg,classification,random,6,0.9465648854961832,0.9465648854961832,0.9431397343113331,False,1.3129770992366412,0.17557251908396945,0.060547245617720166,0.0670504728769556,0.7328,131
herg,classification,random,7,0.9465648854961832,0.9465648854961832,0.9804251018116689,False,1.4198473282442747,0.1984732824427481,0.1244975027099148,0.11157103720361844,0.6718,131
herg,classification,scaffold,0,0.9465648854961832,0.9236641221374046,0.608125489934334,False,1.2748091603053435,0.17557251908396945,0.15665606607969734,0.08382754627636636,0.6565,131
herg,classification,scaffold,1,0.9236641221374046,0.9236641221374046,0.9876302374134944,False,1.282442748091603,0.183206106870229,0.1280680810491193,0.09408079398405525,0.6107,131
herg,classification,scaffold,2,0.9083969465648855,0.9083969465648855,0.9841541522854691,False,1.4351145038167938,0.2748091603053435,0.19655463209095958,0.1187699648115758,0.6031,131
herg,classification,scaffold,3,0.8396946564885496,0.8396946564885496,0.851004705719785,False,1.1984732824427482,0.2748091603053435,0.19675506005787935,0.15645502694520164,0.5573,131
herg,classification,scaffold,4,0.916030534351145,0.916030534351145,0.9033559186400462,False,1.4198473282442747,0.2748091603053435,0.17928511408934328,0.0914806772019525,0.5649,131
herg,classification,scaffold,5,0.9083969465648855,0.9236641221374046,0.7607681532020737,False,1.282442748091603,0.22900763358778625,0.14064426065538013,0.08357584386509147,0.6107,131
herg,classification,scaffold,6,0.9007633587786259,0.9007633587786259,0.8940013803171509,False,1.3053435114503817,0.21374045801526717,0.13254439409606872,0.09457172403857145,0.6183,131
herg,classification,scaffold,7,0.8702290076335878,0.8854961832061069,0.7410421609787897,False,1.2595419847328244,0.22900763358778625,0.13844759735660467,0.10360333781577918,0.5954,131
herg,classification,cluster,0,0.9694656488549618,0.9236641221374046,0.8851775082733695,False,1.8625954198473282,0.366412213740458,0.2598374607335851,0.21521889228365876,0.5191,131
herg,classification,cluster,1,0.8778625954198473,0.8778625954198473,0.8427284563318767,False,1.6488549618320612,0.40458015267175573,0.28977179301367084,0.22179827028125892,0.4885,131
herg,classification,cluster,2,0.9083969465648855,0.9083969465648855,0.8867146942333508,False,1.6870229007633588,0.42748091603053434,0.3060851514587433,0.24611954472994085,0.4427,131
herg,classification,cluster,3,0.9236641221374046,0.9236641221374046,0.8760583589338303,False,1.6946564885496183,0.3969465648854962,0.21236778866860112,0.20469236975632132,0.4809,131
herg,classification,cluster,4,0.9312977099236641,0.9312977099236641,0.7198870071356143,False,1.748091603053435,0.3893129770992366,0.22156730635657124,0.2183465809266335,0.4885,131
herg,classification,cluster,5,0.8854961832061069,0.8854961832061069,0.761859890392956,False,1.6412213740458015,0.44274809160305345,0.25539978523964185,0.251820551131407,0.4656,131
herg,classification,cluster,6,0.9312977099236641,0.9312977099236641,0.7333323806931421,False,1.7099236641221374,0.366412213740458,0.22298364414770067,0.2235818856994724,0.5115,131
herg,classification,cluster,7,0.9236641221374046,0.9236641221374046,0.993197608002913,False,1.7099236641221374,0.42748091603053434,0.2825379750481341,0.22866155579804942,0.4427,131
