sim_bin,mean_norm_err
0,7.933316531081431
1,1.3181198591826668
2,1.3336342752890962
3,1.3808954400896545
4,1.0241408787989232
5,0.9706117156298302
6,0.7746364214954545
7,0.6791191879456551
8,0.9971529452513364
9,0.5086576732386796
